"sub","phase","condition","trial","rew.found","day"
"C1","0","OFF",1.1,1,1
"C1","0","OFF",1.2,0,1
"C1","0","OFF",1.3,1,1
"C1","0","OFF",1.4,1,1
"C1","0","OFF",1.5,1,1
"C1","0","OFF",1.6,1,1
"C1","0","OFF",1.7,1,1
"C1","0","OFF",1.8,1,1
"C1","0","OFF",1.9,1,1
"C1","0","OFF",2,1,1
"C1","0","OFF",2.1,0,2
"C1","0","OFF",2.2,1,2
"C1","0","OFF",2.3,0,2
"C1","0","OFF",2.4,1,2
"C1","0","OFF",2.5,1,2
"C1","0","OFF",2.6,1,2
"C1","0","OFF",2.7,1,2
"C1","0","OFF",2.8,0,2
"C1","0","OFF",2.9,1,2
"C1","0","OFF",3,0,2
"C1","0","OFF",3.1,1,3
"C1","0","OFF",3.2,1,3
"C1","0","OFF",3.3,0,3
"C1","0","OFF",3.4,1,3
"C1","0","OFF",3.5,1,3
"C1","0","OFF",3.6,0,3
"C1","0","OFF",3.7,1,3
"C1","0","OFF",3.8,1,3
"C1","0","OFF",3.9,1,3
"C1","0","OFF",4,1,3
"C1","0","OFF",4.1,1,4
"C1","0","OFF",4.2,1,4
"C1","0","OFF",4.3,1,4
"C1","0","OFF",4.4,1,4
"C1","0","OFF",4.5,1,4
"C1","0","OFF",4.6,1,4
"C1","0","OFF",4.7,1,4
"C1","0","OFF",4.8,1,4
"C1","0","OFF",4.9,1,4
"C1","0","OFF",5,0,4
"C1","0","OFF",5.1,1,5
"C1","0","OFF",5.2,1,5
"C1","0","OFF",5.3,1,5
"C1","0","OFF",5.4,1,5
"C1","0","OFF",5.5,1,5
"C1","0","OFF",5.6,1,5
"C1","0","OFF",5.7,1,5
"C1","0","OFF",5.8,0,5
"C1","0","OFF",5.9,1,5
"C1","0","OFF",6,1,5
"C1","0","OFF",6.1,1,6
"C1","0","OFF",6.2,1,6
"C1","0","OFF",6.3,1,6
"C1","0","OFF",6.4,1,6
"C1","0","OFF",6.5,1,6
"C1","0","OFF",6.6,1,6
"C1","0","OFF",6.7,1,6
"C1","0","OFF",6.8,1,6
"C1","0","OFF",6.9,1,6
"C1","0","OFF",7.1,1,7
"C1","0","OFF",7.2,1,7
"C1","0","OFF",7.3,1,7
"C1","0","OFF",7.4,1,7
"C1","0","OFF",7.5,1,7
"C1","0","OFF",7.6,1,7
"C1","0","OFF",7.7,0,7
"C1","0","OFF",7.8,1,7
"C1","0","OFF",7.9,1,7
"C1","0","OFF",8,0,7
"C1","0","OFF",8.1,1,8
"C1","0","OFF",8.2,1,8
"C1","0","OFF",8.3,1,8
"C1","0","OFF",8.6,1,8
"C1","0","OFF",8.7,1,8
"C1","0","OFF",8.8,0,8
"C1","0","OFF",8.9,1,8
"C1","0","OFF",9,1,8
"C1","1","OFF",1.2,0,1
"C1","1","OFF",1.3,0,1
"C1","1","OFF",1.4,0,1
"C1","1","OFF",1.5,0,1
"C1","1","OFF",1.6,0,1
"C1","1","OFF",1.7,0,1
"C1","1","OFF",1.8,0,1
"C1","1","OFF",1.9,0,1
"C1","1","OFF",2,0,1
"C1","1","OFF",2.1,0,2
"C1","1","OFF",2.2,0,2
"C1","1","OFF",2.3,0,2
"C1","1","OFF",2.4,1,2
